EURUSD Date: 2023-11-16 19:55:32.011272 to 2023-11-28 19:55:32.011272, Label: sell, Current Close: 1.09949, Future Close: 1.09703, Swing Low: 1.08249, Swing High: 1.10088
EURUSD Date: 2023-11-28 19:55:32.011272 to 2023-12-10 19:55:32.011272, Label: buy, Current Close: 1.07624, Future Close: 1.0764, Swing Low: 1.07233, Swing High: 1.10171
EURUSD Date: 2023-12-10 19:55:32.011272 to 2023-12-22 19:55:32.011272, Label: hold, Current Close: 1.10124, Future Close: 1.10124, Swing Low: 1.07415, Swing High: 1.10402
EURUSD Date: 2023-12-22 19:55:32.011272 to 2024-01-03 19:55:32.011272, Label: buy, Current Close: 1.09196, Future Close: 1.09478, Swing Low: 1.08929, Swing High: 1.11393
EURUSD Date: 2024-01-03 19:55:32.011272 to 2024-01-15 19:55:32.011272, Label: sell, Current Close: 1.09504, Future Close: 1.08756, Swing Low: 1.08765, Swing High: 1.09985
EURUSD Date: 2024-01-15 19:55:32.011272 to 2024-01-27 19:55:32.011272, Label: hold, Current Close: 1.08528, Future Close: 1.08528, Swing Low: 1.08128, Swing High: 1.09508
EURUSD Date: 2024-01-27 19:55:32.011272 to 2024-02-08 19:55:32.011272, Label: buy, Current Close: 1.07779, Future Close: 1.07844, Swing Low: 1.07225, Swing High: 1.08975
EURUSD Date: 2024-02-08 19:55:32.011272 to 2024-02-20 19:55:32.011272, Label: buy, Current Close: 1.08083, Future Close: 1.08173, Swing Low: 1.06947, Swing High: 1.08388
EURUSD Date: 2024-02-20 19:55:32.011272 to 2024-03-03 19:55:32.011272, Label: buy, Current Close: 1.08399, Future Close: 1.08559, Swing Low: 1.07898, Swing High: 1.0888
EURUSD Date: 2024-03-03 19:55:32.011272 to 2024-03-15 19:55:32.011272, Label: hold, Current Close: 1.08885, Future Close: 1.08885, Swing Low: 1.0836, Swing High: 1.09811
EURUSD Date: 2024-03-15 19:55:32.011272 to 2024-03-27 19:55:32.011272, Label: sell, Current Close: 1.08279, Future Close: 1.07868, Swing Low: 1.08017, Swing High: 1.09425
EURUSD Date: 2024-03-27 19:55:32.011272 to 2024-04-08 19:55:32.011272, Label: sell, Current Close: 1.08591, Future Close: 1.08573, Swing Low: 1.07244, Swing High: 1.08765
EURUSD Date: 2024-04-08 19:55:32.011272 to 2024-04-20 19:55:32.011272, Label: hold, Current Close: 1.06572, Future Close: 1.06572, Swing Low: 1.0601099999999999, Swing High: 1.08851
EURUSD Date: 2024-04-20 19:55:32.011272 to 2024-05-02 19:55:32.011272, Label: buy, Current Close: 1.07257, Future Close: 1.07634, Swing Low: 1.06238, Swing High: 1.07528
EURUSD Date: 2024-05-02 19:55:32.011272 to 2024-05-14 19:55:32.011272, Label: buy, Current Close: 1.08195, Future Close: 1.0884, Swing Low: 1.0722, Swing High: 1.08256
EURUSD Date: 2024-05-14 19:55:32.011272 to 2024-05-26 19:55:32.011272, Label: buy, Current Close: 1.08461, Future Close: 1.08591, Swing Low: 1.08047, Swing High: 1.08951
EURUSD Date: 2024-05-26 19:55:32.011272 to 2024-06-07 19:55:32.011272, Label: hold, Current Close: 1.0802, Future Close: 1.0802, Swing Low: 1.07882, Swing High: 1.0916
EURUSD Date: 2024-06-07 19:55:32.011272 to 2024-06-19 19:55:32.011272, Label: sell, Current Close: 1.07443, Future Close: 1.07023, Swing Low: 1.06676, Swing High: 1.08522
EURUSD Date: 2024-06-19 19:55:32.011272 to 2024-07-01 19:55:32.011272, Label: buy, Current Close: 1.07397, Future Close: 1.07455, Swing Low: 1.06659, Swing High: 1.07764
EURUSD Date: 2024-07-01 19:55:32.011272 to 2024-07-13 19:55:32.011272, Label: hold, Current Close: 1.09048, Future Close: 1.09048, Swing Low: 1.07098, Swing High: 1.09113
EURUSD Date: 2024-07-13 19:55:32.011272 to 2024-07-25 19:55:32.011272, Label: buy, Current Close: 1.08454, Future Close: 1.08552, Swing Low: 1.08256, Swing High: 1.0948
EURUSD Date: 2024-07-25 19:55:32.011272 to 2024-08-06 19:55:32.011272, Label: sell, Current Close: 1.09279, Future Close: 1.09219, Swing Low: 1.07775, Swing High: 1.10089
EURUSD Date: 2024-08-06 19:55:32.011272 to 2024-08-18 19:55:32.011272, Label: buy, Current Close: 1.1026799999999999, Future Close: 1.1085, Swing Low: 1.08815, Swing High: 1.10474
EURUSD Date: 2024-08-18 19:55:32.011272 to 2024-08-30 19:55:32.011272, Label: hold, Current Close: 1.10484, Future Close: 1.10484, Swing Low: 1.10222, Swing High: 1.12016
EURUSD Date: 2024-08-30 19:55:32.011272 to 2024-09-11 19:55:32.011272, Label: buy, Current Close: 1.10142, Future Close: 1.10731, Swing Low: 1.1002, Swing High: 1.11554
EURUSD Date: 2024-09-11 19:55:32.011272 to 2024-09-23 19:55:32.011272, Label: buy, Current Close: 1.11119, Future Close: 1.11805, Swing Low: 1.10054, Swing High: 1.11891
EURUSD Date: 2024-09-23 19:55:32.011272 to 2024-10-05 19:55:32.011272, Label: hold, Current Close: 1.09757, Future Close: 1.09757, Swing Low: 1.09513, Swing High: 1.1213899999999999
EURUSD Date: 2024-10-05 19:55:32.011272 to 2024-10-17 19:55:32.011272, Label: buy, Current Close: 1.08305, Future Close: 1.08674, Swing Low: 1.08109, Swing High: 1.09971
EURUSD Date: 2024-10-17 19:55:32.011272 to 2024-10-29 19:55:32.011272, Label: buy, Current Close: 1.08174, Future Close: 1.08564, Swing Low: 1.07612, Swing High: 1.08719
EURUSD Date: 2024-10-29 19:55:32.011272 to 2024-11-10 19:55:32.011272, Label: sell, Current Close: 1.0718, Future Close: 1.06558, Swing Low: 1.06824, Swing High: 1.0937000000000001
